customer_id,customer_name,segment,country,city,state,region,postal_code,is_current,effective_start_date,effective_end_date
AA-10315,Alex Avila,Consumer,United States,Minneapolis,Minnesota,Central,55407,True,2026-07-05,
AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,West,85204,True,2026-07-05,
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,28027,True,2026-07-05,
AA-10645,Anna Andreadi,Consumer,United States,Chester,Pennsylvania,East,19013,True,2026-07-05,
AB-10015,Aaron Bergman,Consumer,United States,Seattle,Washington,West,98103,True,2026-07-05,
AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,East,10009,True,2026-07-05,
AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,West,85023,True,2026-07-05,
AB-10150,Aimee Bixby,Consumer,United States,Long Beach,New York,East,11561,True,2026-07-05,
AB-10165,Alan Barnes,Consumer,United States,Unknown,California,West,90036,True,2026-07-05,
AB-10255,Alejandro Ballentine,Home Office,United States,Lorain,Ohio,East,44052,True,2026-07-05,
AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,West,85705,True,2026-07-05,
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,West,94122,True,2026-07-05,
AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,Central,55407,True,2026-07-05,
AC-10615,Ann Chong,Corporate,United States,New York City,New York,East,10009,True,2026-07-05,
AC-10660,Anna Chung,Consumer,United States,Huntsville,Texas,Central,77340,True,2026-07-05,
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central,77041,True,2026-07-05,
AF-10870,Art Ferguson,Consumer,United States,College Station,Texas,Central,77840,True,2026-07-05,
AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,South,40214,True,2026-07-05,
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,84084,True,2026-07-05,
AG-10300,Aleksandra Gannaway,Corporate,United States,Los Angeles,California,West,90049,True,2026-07-05,
AG-10330,Alex Grayson,Consumer,United States,Stockton,California,West,95207,True,2026-07-05,
AG-10390,Allen Goldenen,Consumer,United States,Cincinnati,Ohio,East,45231,True,2026-07-05,
AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,East,19140,True,2026-07-05,
AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,South,33710,True,2026-07-05,
AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,Central,77036,True,2026-07-05,
AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,East,19120,True,2026-07-05,
AG-10900,Arthur Gainer,Consumer,United States,Tucson,Arizona,West,85705,True,2026-07-05,
AH-10030,Aaron Hawkins,Corporate,United States,Philadelphia,Pennsylvania,East,19134,False,2026-07-05,2026-07-05
AH-10075,Adam Hart,Corporate,United States,New York City,New York,East,10011,True,2026-07-05,
AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,West,85705,True,2026-07-05,
AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,South,33319,True,2026-07-05,
AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,West,94513,True,2026-07-05,
AH-10465,Amy Hunt,Consumer,United States,New York City,New York,East,10035,True,2026-07-05,
AH-10585,Angele Hood,Consumer,United States,Chicago,Illinois,Central,60623,True,2026-07-05,
AH-10690,Anna Häberlin,Corporate,United States,New York City,New York,East,10024,True,2026-07-05,
AI-10855,Arianne Irving,Consumer,United States,Philadelphia,Pennsylvania,East,19120,True,2026-07-05,
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,22153,True,2026-07-05,
AJ-10795,Anthony Johnson,Corporate,United States,Saint Petersburg,Florida,South,33710,True,2026-07-05,
AJ-10945,Ashley Jarboe,Consumer,United States,Wilmington,North Carolina,South,28403,True,2026-07-05,
AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,East,14609,True,2026-07-05,
AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,75051,True,2026-07-05,
AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,South,36830,True,2026-07-05,
AO-10810,Anthony O'Donnell,Corporate,United States,Los Angeles,California,West,90045,True,2026-07-05,
AP-10720,Anne Pryor,Home Office,United States,New York City,New York,East,10035,True,2026-07-05,
AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,South,32137,True,2026-07-05,
AR-10345,Alex Russell,Corporate,United States,Lawrence,Massachusetts,East,1841,True,2026-07-05,
AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,East,2038,True,2026-07-05,
AR-10510,Andrew Roberts,Consumer,United States,Philadelphia,Pennsylvania,East,19134,True,2026-07-05,
AR-10540,Andy Reiter,Consumer,United States,New York City,New York,East,10024,True,2026-07-05,
AR-10570,Anemone Ratner,Consumer,United States,Columbus,Georgia,South,31907,True,2026-07-05,
AR-10825,Anthony Rawles,Corporate,United States,Vancouver,Washington,West,98661,True,2026-07-05,
AS-10045,Aaron Smayling,Corporate,United States,Jacksonville,North Carolina,South,28540,True,2026-07-05,
AS-10090,Adam Shillingsburg,Consumer,United States,Charlottesville,Virginia,South,22901,True,2026-07-05,
AS-10135,Adrian Shami,Home Office,United States,New York City,New York,East,10035,True,2026-07-05,
AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,East,10024,True,2026-07-05,
AS-10240,Alan Shonely,Consumer,United States,Tampa,Florida,South,33614,True,2026-07-05,
AS-10285,Alejandro Savely,Corporate,United States,San Francisco,California,West,94109,True,2026-07-05,
AS-10630,Ann Steele,Home Office,United States,Pasadena,Texas,Central,77506,True,2026-07-05,
AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,West,90004,True,2026-07-05,
AT-10735,Annie Thurman,Consumer,United States,Seattle,Washington,West,98115,True,2026-07-05,
AW-10840,Anthony Witt,Consumer,United States,Allen,Texas,Central,75002,True,2026-07-05,
AW-10930,Arthur Wiediger,Home Office,United States,Aurora,Illinois,Central,60505,False,2026-07-05,2026-07-05
AY-10555,Andy Yotov,Corporate,United States,Oceanside,California,West,92054,True,2026-07-05,
AZ-10750,Annie Zypern,Consumer,United States,New York City,New York,East,10009,True,2026-07-05,
BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,West,90301,True,2026-07-05,
BB-11545,Brenda Bowman,Corporate,United States,Houston,Texas,Central,77070,True,2026-07-05,
BC-11125,Becky Castell,Home Office,United States,Peoria,Arizona,West,85345,True,2026-07-05,
BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,West,94110,True,2026-07-05,
BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,Central,54302,True,2026-07-05,
BD-11560,Brendan Dodson,Home Office,United States,Fresno,California,West,93727,True,2026-07-05,
BD-11605,Brian Dahlen,Consumer,United States,Lawrence,Massachusetts,East,1841,True,2026-07-05,
BD-11620,Brian DeCherney,Consumer,United States,San Francisco,California,West,94122,True,2026-07-05,
BD-11635,Brian Derr,Consumer,United States,Bowling Green,Kentucky,South,42104,True,2026-07-05,
BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,South,40475,True,2026-07-05,
BD-11770,Bryan Davis,Consumer,United States,Houston,Texas,Central,77070,True,2026-07-05,
BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,Central,49201,True,2026-07-05,
BE-11410,Bobby Elias,Consumer,United States,Lancaster,Ohio,East,43130,True,2026-07-05,
BE-11455,Brad Eason,Home Office,United States,Olathe,Kansas,Central,66062,True,2026-07-05,
BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,South,28205,True,2026-07-05,
BF-11005,Barry Franz,Home Office,United States,Pasadena,California,West,91104,True,2026-07-05,
BF-11020,Barry Französisch,Corporate,United States,Green Bay,Wisconsin,Central,54302,False,2026-07-05,2026-07-05
BF-11080,Bart Folk,Consumer,United States,Baltimore,Maryland,East,21215,True,2026-07-05,
BF-11170,Ben Ferrer,Home Office,United States,Los Angeles,California,West,90036,True,2026-07-05,
BF-11215,Benjamin Farhat,Home Office,United States,Albuquerque,New Mexico,West,87105,True,2026-07-05,
BF-11275,Beth Fritzler,Corporate,United States,Tucson,Arizona,West,85705,True,2026-07-05,
BG-11035,Barry Gonzalez,Consumer,United States,Monroe,Louisiana,South,71203,False,2026-07-05,2026-07-05
BG-11695,Brooke Gillingham,Corporate,United States,Cincinnati,Ohio,East,45231,True,2026-07-05,
